n;RN;AVL;B-1;B-5;B-10
1;1;1;4;4;4
2;3;8;10;10;10
4;14;32;29;26;26
8;35;89;73;62;62
16;81;206;184;155;152
32;206;502;456;374;375
64;535;1276;1058;834;842
128;1214;2943;2289;1860;1871
256;2715;6659;5166;4178;4088
512;6022;15109;11455;8937;8922
1024;12956;33127;24746;19428;19283
2048;27949;72385;53405;41850;41088
4096;59507;157349;114736;88721;86821
8192;127879;340821;244388;189381;185361
